paper,fm_a,fm_l,ae,le,afam,afef,amem,lflm,lfef,lmem,afem,lfem
uneducated,0.6432480380063098,0.49317778811651686,0.4695677261975875,-0.11875476194551922,0.7008565969375942,0.473136911702395,0.5293142554035286,0.3480756942010042,-0.2555246045246146,0.0725138774414491,1.177839152975785,0.45263242579737084
curvy,1.269314191002514,1.3671877290183776,-0.08847797052787276,0.15450739532295407,1.1155708266538793,-0.4201785523650032,0.10133339916577923,1.3240773132893995,0.030967365212306253,0.4091722108551458,1.2408140165114137,1.3098890764741589
maids,1.3049827669596703,1.3819801145285633,0.3164749291084526,0.6436375208158821,1.1261065982858725,0.19620835516933388,0.5722436536084019,1.4202071319559708,0.7008693824787245,1.050963364129479,1.478354241839339,1.5815948779906503
assertive,0.8233351473285947,0.5624960070825213,-0.04274579536635994,-0.531685326934169,0.6486648332420368,-0.2261452998678654,0.07579806009877302,0.1483762095195559,-0.9372755024758354,-0.12431440994913935,0.7785651451616582,0.0290170239045474
manipulative,0.8286776003917962,0.974324411345414,-0.9516195833581125,-1.1141531889119933,0.6019735023463048,-1.3253478686074556,-0.6913765830268542,1.1397474934894516,-1.20844448723959,-1.3486528301199079,-0.18149328120384406,-0.19955562402805588
macho,-0.8679995997170562,-1.0809084523167476,0.220430034066017,0.9611500765320525,-0.7532899596739898,0.7110461821905004,-0.04534884143427161,-1.4563721021242946,1.1594827177682454,1.191272154884065,-0.6012458216785175,-0.1620040119459048
feisty,1.2601713200240403,1.394874171911025,-0.8463117888070891,-0.81312153664415,1.2423884192779893,-1.2467205782868855,-0.9254449021121915,1.5123690097582525,-1.0499149120338505,-1.238327408479018,0.6175284666684764,0.7856604487375978
gangsters,-0.7674913669448418,-1.1225665199663373,0.8215646361165377,0.6074219465824252,-0.7086869906854738,1.1619947433820372,0.6802743038995966,-1.5339806230303037,0.9426971783966244,0.6367409516901039,0.05946660789560947,-0.5225372916769552
materialistic,0.818173098000848,0.8338191908845393,0.8631356475967353,-0.18515101957053495,0.9355143563168465,1.0417957801019269,0.8246036893447052,0.7882848807613508,-0.1362602892937133,-0.2812514200270977,1.427438882407652,0.6652584765476756
unfaithful,0.6308835474101514,0.5509783602611303,0.30736691148194917,0.10200628904841937,0.7301945471563916,0.4738761191530118,0.1851618535579396,0.5672351232349081,0.086125939186446,0.131866852515889,0.9354363736678457,0.5751278058984315
drunks,-0.22032361046495244,-0.36995781335276906,0.3308708629488683,0.13576498443198678,-0.23033728895559236,0.3053101160568062,0.3531922155897699,-0.5026338133868617,-0.03547233128901048,0.2662881500178844,0.09869887405598592,-0.21140112908284564
talkative,1.03327995436891,0.6386423297717148,0.4622381457685107,-0.14306022733488188,0.9791785903345178,0.714067166963039,0.39730576091970066,0.22314838607189366,-0.4938350037645347,0.2902506946926714,1.4611229742763971,0.47778949998020026
promiscuous,1.0391561730367151,0.7535396308086355,0.5127897464272941,0.2126196702478311,1.258121686714194,0.9253984874610764,0.2713442925799525,0.6563326901844936,0.13801091303033539,0.31510002251714136,1.3244171230679638,0.8470964358895852
patronizing,0.7165824555191855,0.39477780828539416,1.0335629919888605,0.17267731322680246,0.9090935677156553,1.1005081865959634,1.1400332496017518,0.1147458228956301,-0.08959848960674298,0.4779423559518176,1.4394539344381223,0.5690874018624521
family-oriented,0.22816557957225997,0.2803038401330502,0.31778812475295104,0.7118817460045698,-0.21539296025039906,-0.1800087241365863,0.6451340246544154,-0.08583718585979004,0.38638591273880835,0.9875800034017796,0.7184274274138639,1.0101926950863165
unrefined,0.28344892597573007,-0.34288815282249796,0.9677135749325418,0.8737845193538188,0.7383305730624639,1.3212151632436475,0.5371325306689511,-0.4236523285156968,0.8141085835623312,0.940687075133712,1.0819709831159428,0.509962469041581
all-American,-0.05790405704968139,0.19567592701471068,-0.3453869320113211,-1.0679566555599203,-0.2709966356927165,-0.5607954772836853,-0.14480340544778544,0.36282671281298146,-1.0614661517676858,-1.0707495149168555,-0.3650188261177689,-0.8395566881706296
motherly,1.5615964701548684,1.4986603276357324,0.29454296644451844,-0.2022415756455125,1.536477994705898,0.49823152648336144,0.47870402049494554,1.3872729935764145,-0.523455988546576,-0.06517898964069585,1.6765511075796993,1.2830223301611872
